rebal_date,turnover_oneway,n_added,n_removed
2015-01-02,,348,0
2015-03-31,0.04361813046214218,6,1
2015-06-30,0.06472612788191599,2,0
2015-09-30,0.5230644525195878,7,1
2015-12-31,0.5220930730661983,5,1
2016-03-31,0.06402327256894227,9,2
2016-06-30,0.07445298733913625,9,2
2016-09-30,0.048425916974687754,6,0
2016-12-30,0.062055256646293605,2,1
2017-03-31,0.06475391039260851,9,3
2017-06-30,0.046952102706994764,5,2
2017-09-29,0.09189037139400344,8,5
2017-12-29,0.043032734120262206,2,0
2018-03-29,0.04906775503533431,5,1
2018-06-29,0.06299423849365977,3,3
2018-09-28,0.05857960589901712,2,1
2018-12-31,0.08008618227903144,10,1
2019-03-29,0.0637637348262236,3,2
2019-06-28,0.0459195037935555,4,3
2019-09-30,0.05223669646292351,9,1
2019-12-31,0.06505780134738436,9,5
2020-03-31,0.11929519130444827,2,0
2020-06-30,0.10334688180114246,10,4
2020-09-30,0.06872165090443484,3,3
2020-12-31,0.11831677806352689,4,1
2021-03-31,0.07370437726402206,8,5
2021-06-30,0.04335055489339395,5,1
2021-09-30,0.5009197282546475,5,3
2021-12-31,0.5012320515362343,4,2
2022-03-31,0.07645086624253651,3,0
2022-06-30,0.06815031967288651,6,1
2022-09-30,0.056409613724804394,2,2
2022-12-30,0.06640533578054744,7,1
2023-03-31,0.06383831056508399,4,2
2023-06-30,0.053425134708381325,2,0
2023-09-29,0.06678639266157661,4,3
2023-12-29,0.06235384134380077,6,4
2024-03-28,0.07602378071064342,6,2
2024-06-28,0.06975466525498297,5,4
2024-09-30,0.07130169494647867,4,3
2024-12-31,0.07307423220507614,4,3
2025-03-31,0.07496822617979697,0,0
2025-06-30,0.07277364808343581,4,4
2025-09-30,0.07474664579562472,3,3
2025-12-30,0.06806842869900742,6,4
