date,permno,reason
2015-01-02,16851,no_mc_at_rebal
2015-01-02,20057,no_mc_at_rebal
2015-01-02,18143,no_mc_at_rebal
2015-01-02,22976,no_mc_at_rebal
2015-03-31,16851,no_mc_at_rebal
2015-03-31,20057,no_mc_at_rebal
2015-03-31,18143,no_mc_at_rebal
2015-03-31,22976,no_mc_at_rebal
2015-06-30,16851,no_mc_at_rebal
2015-06-30,20057,no_mc_at_rebal
2015-06-30,18143,no_mc_at_rebal
2015-06-30,22976,no_mc_at_rebal
2015-09-30,16851,no_mc_at_rebal
2015-09-30,20057,no_mc_at_rebal
2015-09-30,18143,no_mc_at_rebal
2015-09-30,22976,no_mc_at_rebal
2015-12-31,16851,no_mc_at_rebal
2015-12-31,20057,no_mc_at_rebal
2015-12-31,18143,no_mc_at_rebal
2015-12-31,22976,no_mc_at_rebal
2016-03-31,16851,no_mc_at_rebal
2016-03-31,20057,no_mc_at_rebal
2016-03-31,18143,no_mc_at_rebal
2016-03-31,22976,no_mc_at_rebal
2016-06-30,16851,no_mc_at_rebal
2016-06-30,20057,no_mc_at_rebal
2016-06-30,18143,no_mc_at_rebal
2016-06-30,22976,no_mc_at_rebal
2016-09-30,16851,no_mc_at_rebal
2016-09-30,20057,no_mc_at_rebal
2016-09-30,18143,no_mc_at_rebal
2016-09-30,22976,no_mc_at_rebal
2016-12-30,16851,no_mc_at_rebal
2016-12-30,20057,no_mc_at_rebal
2016-12-30,18143,no_mc_at_rebal
2016-12-30,22976,no_mc_at_rebal
2017-03-31,16851,no_mc_at_rebal
2017-03-31,20057,no_mc_at_rebal
2017-03-31,18143,no_mc_at_rebal
2017-03-31,22976,no_mc_at_rebal
2017-06-30,16851,no_mc_at_rebal
2017-06-30,20057,no_mc_at_rebal
2017-06-30,18143,no_mc_at_rebal
2017-06-30,22976,no_mc_at_rebal
2017-09-29,20057,no_mc_at_rebal
2017-09-29,18143,no_mc_at_rebal
2017-09-29,22976,no_mc_at_rebal
2017-12-29,20057,no_mc_at_rebal
2017-12-29,18143,no_mc_at_rebal
2017-12-29,22976,no_mc_at_rebal
2018-03-29,20057,no_mc_at_rebal
2018-03-29,18143,no_mc_at_rebal
2018-03-29,22976,no_mc_at_rebal
2018-06-29,20057,no_mc_at_rebal
2018-06-29,18143,no_mc_at_rebal
2018-06-29,22976,no_mc_at_rebal
2018-09-28,20057,no_mc_at_rebal
2018-09-28,18143,no_mc_at_rebal
2018-09-28,22976,no_mc_at_rebal
2018-12-31,20057,no_mc_at_rebal
2018-12-31,22976,no_mc_at_rebal
2019-03-29,20057,no_mc_at_rebal
2019-03-29,22976,no_mc_at_rebal
2019-06-28,20057,no_mc_at_rebal
2019-06-28,22976,no_mc_at_rebal
2019-09-30,20057,no_mc_at_rebal
2019-09-30,22976,no_mc_at_rebal
2019-12-31,20057,no_mc_at_rebal
2019-12-31,22976,no_mc_at_rebal
2020-03-31,20057,no_mc_at_rebal
2020-03-31,22976,no_mc_at_rebal
2020-06-30,20057,no_mc_at_rebal
2020-06-30,22976,no_mc_at_rebal
2020-09-30,20057,no_mc_at_rebal
2020-09-30,22976,no_mc_at_rebal
2020-12-31,22976,no_mc_at_rebal
2021-03-31,22976,no_mc_at_rebal
2021-06-30,22976,no_mc_at_rebal
2021-09-30,22976,no_mc_at_rebal
2021-12-31,22976,no_mc_at_rebal
2022-03-31,22976,no_mc_at_rebal
