ticker,weight,mc,shares,price
LB,0.07142068847494715,191872150.0,15923000.0,12.05
STZ,0.03621099952763366,378438630.0,23734000.0,15.945
CBS,0.018790741149291152,729276240.0,51832000.0,14.07
ES,0.018272601679102374,749955660.0,88334000.0,8.49
MDP,0.012289793690507492,1115042400.0,36144000.0,30.85
NOVL,0.009490841885260186,1443880450.0000002,347923000.0,4.15
CPWR,0.008334701078868056,1644167070.0,227409000.0,7.23
ODP,0.007733704301355502,1771937550.0,274719000.0,6.45
NYT,0.0077146353755068375,1776317400.0,143715000.0,12.36
TER,0.007303079720835306,1876419480.0,174876000.0,10.73
GAS,0.007196439671007556,1904225100.0,45231000.0,42.1
ZION,0.007100505985013535,1929952750.0,150425000.0,12.83
LEN,0.007057997550674896,1941576340.0,152042000.0,12.77
LXK,0.006753589698984234,2029089960.0,78102000.0,25.98
MOLX,0.0066544560151313836,2059318000.0,95560000.0,21.55
QLGC,0.00635073669950211,2157803370.0,114351000.0,18.87
TLAB,0.006282845992961566,2181120000.0,384000000.0,5.68
MWW,0.0062653384807785355,2187214800.0,125702000.0,17.4
TIE,0.006080068548342918,2253862920.0,180021000.0,12.52
NVLS,0.0060612091886659645,2260875780.0,96867000.0,23.34
