rebal_date,turnover_oneway,n_added,n_removed
1996-01-02,,383,0
1996-03-29,0.058314216008458306,0,0
1996-06-28,1.0000000000000002,383,383
1996-09-30,0.12756925207254216,9,6
1996-12-31,0.09868356868001564,9,3
1997-03-31,0.09273602337703432,6,5
1997-06-30,0.06393582684107199,5,7
1997-09-30,0.14307626987340838,16,12
1997-12-31,0.14179057536135312,10,5
1998-03-31,0.10248181215637911,6,5
1998-06-30,0.13716563528652903,8,8
1998-09-30,0.15148348428013544,9,14
1998-12-31,0.11346191317772222,13,9
1999-03-31,0.16158478598713116,7,7
1999-06-30,0.1585606267062475,12,11
1999-09-30,0.09419355378742228,6,8
1999-12-31,0.12848940588376848,17,14
2000-03-31,0.11121298475675999,6,4
2000-06-30,0.15265591356522396,19,16
2000-09-29,0.11637115552684396,0,5
2000-12-29,0.1432748696695909,8,15
2001-03-30,0.17351269959348237,26,11
2001-06-29,0.1289776201409566,6,2
2001-09-28,0.1382469817710231,5,7
2001-12-31,0.15876419944950423,16,12
2002-03-28,0.08609536788012098,0,3
2002-06-28,0.16537091495624867,7,5
2002-09-30,0.19223890930892412,14,9
2002-12-31,0.10447637314766492,4,1
2003-03-31,0.0869832346122025,4,2
2003-06-30,0.13408934226343583,2,1
2003-09-30,0.1377969653036104,2,3
2003-12-31,0.06430901137381874,3,2
2004-03-31,0.21653023458329165,5,2
2004-06-30,0.13406910969818361,5,6
2004-09-30,0.07580199282196927,4,4
2004-12-31,0.15324721232984198,7,7
2005-03-31,0.07990840787853591,3,2
2005-06-30,0.08153701054198736,0,0
2005-09-30,0.08766563611091438,6,7
2005-12-30,0.0487349863830247,0,4
2006-03-31,0.07340707969651329,15,5
2006-06-30,0.08453685280418978,9,11
2006-09-29,0.0632382945811032,0,1
2006-12-29,0.08087622481056575,5,9
2007-03-30,0.08060555214178179,10,12
2007-06-29,0.14283683247528964,9,6
2007-09-28,0.06789708075311715,3,6
2007-12-31,0.15699231087640209,21,16
2008-03-31,0.06797292398439089,3,3
2008-06-30,0.09634730637356732,6,4
2008-09-30,0.12274747601487007,11,7
2008-12-31,0.17071155015972145,15,11
2009-03-31,0.14955529914235277,9,7
2009-06-30,0.10768780602287359,2,1
2009-09-30,0.09008087267562509,7,3
2009-12-31,0.09571368155886854,7,9
2010-03-31,0.07046572484920871,5,7
2010-06-30,0.060918292255534794,3,2
2010-09-30,0.04242261899798107,1,3
2010-12-31,0.06849242414187304,4,4
2011-03-31,0.058028229135400386,2,4
2011-06-30,0.09253609000300735,4,5
2011-09-30,0.0780103397536936,2,2
2011-12-30,0.06584427861137704,0,2
2012-03-30,0.11207110661018614,10,6
2012-06-29,0.10437649138491747,2,6
2012-09-28,0.07910947568651656,6,5
2012-12-31,0.06909963143271121,5,6
2013-03-28,0.0510502729123138,0,1
2013-06-28,0.10334457173111404,2,5
2013-09-30,0.07392114999050892,9,6
2013-12-31,0.07054513317960365,5,7
2014-03-31,0.04864713908682543,2,3
2014-06-30,0.051783045272650485,4,5
2014-09-30,0.053878003797323874,5,3
2014-12-31,0.06272381792357129,3,2
2015-03-31,0.07140705247578483,6,9
2015-06-30,0.05069154005372082,3,3
2015-09-30,0.1048469039662385,12,8
2015-12-31,0.08816144271040809,6,6
2016-03-31,0.07759868557226868,5,7
2016-06-30,0.08574970358088854,11,10
2016-09-30,0.06501437391075263,6,6
2016-12-30,0.054598848872270137,0,0
2017-03-31,0.11027713743215353,11,12
2017-06-30,0.07176078508712394,5,6
2017-09-29,0.05762390058354673,0,5
2017-12-29,0.07134055156857994,9,5
2018-03-29,0.05414154407781663,2,1
2018-06-29,0.08189552574689388,7,5
2018-09-28,0.07128863421670525,9,3
2018-12-31,0.09258122995461773,11,10
2019-03-29,0.058643564601165016,0,4
2019-06-28,0.06310366826064603,6,2
2019-09-30,0.08898356995174464,11,12
2019-12-31,0.09877164401140698,11,11
2020-03-31,0.142308979027297,2,2
2020-06-30,0.1214729447531711,10,8
2020-09-30,0.08027119945389218,4,4
2020-12-31,0.07609931733295727,4,2
2021-03-31,0.08168236017650976,6,5
2021-06-30,0.05273409746804111,3,3
2021-09-30,0.05862809583909745,6,5
2021-12-31,0.06831421506660217,5,5
2022-03-31,0.08160327011801724,4,3
2022-06-30,0.09935988320829775,6,10
2022-09-30,0.06275743929614315,1,3
2022-12-30,0.057431952153831345,0,3
2023-03-31,0.09128215672915291,10,5
2023-06-30,0.07768204054781,4,4
2023-09-29,0.05109519451262544,0,0
2023-12-29,0.07008580082289512,4,5
2024-03-28,0.07829944203197389,6,5
2024-06-28,0.0695862640998918,4,5
2024-09-30,0.11292160879599988,10,9
2024-12-31,0.08067015530366467,4,5
